time,open,high,low,close,tick_volume,bb_upper,bb_middle,bb_lower,bb_signal,macd_signal,rsi_overbought,adx,adx_strong,atr
2025-05-07 11:55:00,3386.37,3387.748,3385.702,3387.107,879,3392.484795574596,3388.2671,3384.049404425404,0,1.0249840103280528,0,13.620988479566547,0,3.6849900938645783
2025-05-07 12:00:00,3387.079,3387.079,3384.063,3385.513,720,3392.3177271876502,3388.0336,3383.74947281235,0,0.9279914514235641,0,12.974313792141844,0,3.6392050871599566
2025-05-07 12:05:00,3385.553,3389.991,3385.316,3389.704,963,3392.209165888393,3387.99665,3383.7841341116073,1,0.8927455265503783,0,12.768177608387747,0,3.713190438077116
2025-05-07 12:10:00,3389.7,3393.814,3389.699,3393.211,1388,3392.8613925056165,3388.1512000000002,3383.441007494384,-1,0.9519662343932569,0,13.638920051496669,0,3.741891121071592
2025-05-07 12:15:00,3393.256,3393.654,3388.878,3389.212,1022,3392.351980220488,3387.999,3383.646019779512,0,1.0013209171241355,0,14.11864526790256,0,3.8157560409950384
2025-05-07 12:20:00,3389.175,3391.095,3387.073,3389.816,1327,3392.304898370151,3387.9824,3383.6599016298487,0,1.0492587667480187,0,13.874408465804006,0,3.830487752352531
2025-05-07 12:25:00,3389.779,3390.265,3384.471,3386.284,1363,3392.19905125819,3387.8445999999994,3383.4901487418088,-1,1.0350531214146774,0,12.994881262693715,0,3.970738627184484
2025-05-07 12:30:00,3386.289,3391.807,3386.008,3389.258,1153,3392.188747785176,3387.8402,3383.491652214824,1,1.0277311583787427,0,12.434087702310217,0,4.101328725242733
2025-05-07 12:35:00,3389.286,3391.589,3387.058,3387.329,1057,3391.6661814351164,3387.636,3383.6058185648835,-1,0.9919891078743608,0,11.913350824811255,0,4.132019530582534
2025-05-07 12:40:00,3387.353,3390.033,3386.383,3387.876,1054,3391.450619160807,3387.54035,3383.6300808391934,1,0.9467736761731435,0,11.186260686248762,0,4.09758956411236
2025-05-07 12:45:00,3387.923,3390.306,3386.961,3388.651,1087,3391.5324382632634,3387.59225,3383.652061736737,0,0.9081975639564739,0,10.6088647295071,0,4.043833166675781
2025-05-07 12:50:00,3388.699,3390.616,3388.089,3390.203,1033,3391.8284455341063,3387.7282,3383.6279544658937,0,0.8984963597175778,0,10.188619852183894,0,3.9354879404846566
2025-05-07 12:55:00,3390.243,3391.538,3389.213,3390.859,1011,3392.2217601314837,3387.9460999999997,3383.6704398685156,0,0.915820183471085,0,10.144844021298137,0,3.8204530875928824
2025-05-07 13:00:00,3390.894,3391.419,3385.317,3390.208,1918,3392.4673029389583,3388.11415,3383.7609970610415,0,0.9367009635052692,0,10.20840321877903,0,3.9834207241933806
2025-05-07 13:05:00,3390.327,3391.614,3389.061,3391.312,1339,3392.8627230089733,3388.3360000000002,3383.809276991027,0,0.9741953140759696,0,10.187820726240677,0,3.881247815322417
2025-05-07 13:10:00,3391.303,3391.942,3388.181,3388.919,1296,3392.6713853542697,3388.5759999999996,3384.4806146457295,0,0.9797379074281132,0,10.467962645752882,0,3.8726586856565275
2025-05-07 13:15:00,3388.911,3390.062,3386.03,3386.593,1391,3392.6304166699433,3388.6079,3384.5853833300566,-1,0.9256202140801264,0,11.3972703723979,0,3.884040208109611
2025-05-07 13:20:00,3386.632,3388.163,3381.264,3385.884,1792,3392.6811001272717,3388.4874499999996,3384.2937998727275,0,0.8235241911377558,0,13.388997527752647,0,4.099394478958916
2025-05-07 13:25:00,3385.786,3386.639,3382.96,3386.324,1516,3392.6089165323847,3388.5336500000003,3384.458383467616,0,0.701851287735035,0,15.238458457724912,0,4.069366301890429
